provider,attribute,original_value,parsed_value,collection_date,source_url,source_type,confidence,reason
Amazon Web Services (AWS),provider_name,Amazon Web Services (AWS),Amazon Web Services (AWS),2026-08-02,,collection_metadata,high,
Amazon Web Services (AWS),availability_sla_percent,Monthly Uptime Percentage of at least 99.99% for EC2 deployed across two or more AZs,99.99,2026-08-02,https://aws.amazon.com/compute/sla/,official_sla_documentation,high,
Amazon Web Services (AWS),minimum_vm_price_usd_hour,,,2026-08-02,https://aws.amazon.com/ec2/pricing/on-demand/,official_pricing,unavailable,"The official EC2 price table is dynamic and region, architecture, OS, and purchase-option dependent; no reproducible global minimum is published."
Amazon Web Services (AWS),storage_price_usd_gb_month,,,2026-08-02,https://aws.amazon.com/s3/pricing/,official_pricing,unavailable,Storage class and reference region were not specified; AWS publishes multiple usage-dependent S3 rates rather than one storage price.
Amazon Web Services (AWS),region_count,39 launched Regions,39,2026-08-02,https://aws.amazon.com/about-aws/global-infrastructure/,official_region_documentation,high,
Amazon Web Services (AWS),availability_zone_count,123 Availability Zones,123,2026-08-02,https://aws.amazon.com/about-aws/global-infrastructure/,official_region_documentation,high,
Amazon Web Services (AWS),gpu_support,GPU-based accelerated computing instances,True,2026-08-02,https://aws.amazon.com/ec2/instance-types/accelerated-computing/,official_feature_documentation,high,
Amazon Web Services (AWS),container_support,Amazon ECS and AWS Fargate,True,2026-08-02,https://aws.amazon.com/containers/services/,official_feature_documentation,high,
Amazon Web Services (AWS),kubernetes_support,Amazon Elastic Kubernetes Service,True,2026-08-02,https://aws.amazon.com/eks/,official_feature_documentation,high,
Amazon Web Services (AWS),auto_scaling,AWS Auto Scaling,True,2026-08-02,https://aws.amazon.com/autoscaling/,official_feature_documentation,high,
Amazon Web Services (AWS),load_balancer,Elastic Load Balancing,True,2026-08-02,https://aws.amazon.com/elasticloadbalancing/,official_feature_documentation,high,
Amazon Web Services (AWS),monitoring,Amazon CloudWatch,True,2026-08-02,https://aws.amazon.com/cloudwatch/,official_feature_documentation,high,
Amazon Web Services (AWS),backup,AWS Backup,True,2026-08-02,https://aws.amazon.com/backup/,official_feature_documentation,high,
Amazon Web Services (AWS),disaster_recovery,AWS Elastic Disaster Recovery,True,2026-08-02,https://aws.amazon.com/disaster-recovery/,official_feature_documentation,high,
Amazon Web Services (AWS),support_tier,Enterprise Support,Enterprise,2026-08-02,https://aws.amazon.com/premiumsupport/plans/,official_support_documentation,high,
Amazon Web Services (AWS),support_24x7,24x7 access is included in qualifying paid AWS Support plans,True,2026-08-02,https://aws.amazon.com/premiumsupport/plans/,official_support_documentation,high,
Amazon Web Services (AWS),security_certifications,ISO/IEC 27001; SOC 2,"[""ISO27001"",""SOC2""]",2026-08-02,https://aws.amazon.com/compliance/programs/,official_compliance_documentation,high,
Amazon Web Services (AWS),compliance_certifications,HIPAA; PCI DSS; GDPR,"[""HIPAA"",""PCI DSS"",""GDPR""]",2026-08-02,https://aws.amazon.com/compliance/programs/,official_compliance_documentation,high,
Amazon Web Services (AWS),free_tier,AWS Free Tier,True,2026-08-02,https://aws.amazon.com/free/,official_documentation,high,
Amazon Web Services (AWS),hybrid_cloud,AWS Outposts extends AWS infrastructure and services on premises,True,2026-08-02,https://aws.amazon.com/outposts/,official_feature_documentation,high,
Amazon Web Services (AWS),documentation_url,https://docs.aws.amazon.com/,https://docs.aws.amazon.com/,2026-08-02,https://docs.aws.amazon.com/,official_documentation,high,
Amazon Web Services (AWS),collection_date,2026-08-02,2026-08-02,2026-08-02,,collection_metadata,high,
Amazon Web Services (AWS),source_url,https://docs.aws.amazon.com/,https://docs.aws.amazon.com/,2026-08-02,https://docs.aws.amazon.com/,official_documentation,high,
Amazon Web Services (AWS),source_type,"Official AWS documentation, pricing, SLA, region, support, feature, and compliance pages",official_multi_source,2026-08-02,https://docs.aws.amazon.com/,official_documentation,high,
Microsoft Azure,provider_name,Microsoft Azure,Microsoft Azure,2026-08-02,,collection_metadata,high,
Microsoft Azure,availability_sla_percent,99.99% uptime SLA for virtual machines using Availability Zones,99.99,2026-08-02,https://azure.microsoft.com/en-us/explore/global-infrastructure/availability-zones/,official_sla_documentation,high,
